Path,Lines of code,Lines of code generated,Lines of user code, Percentage of generated code
/maven-library,95,95,0,"100,00"
/maven-library/.settings,46,46,0,"100,00"
/maven-library/src/main/java/dao,923,923,0,"100,00"
/maven-library/src/main/java/daoconnect,28,28,0,"100,00"
/maven-library/src/main/java/models,303,303,0,"100,00"
/maven-library/src/main/webapp,5,5,0,"100,00"
/maven-library/src/main/webapp/WEB-INF,7,7,0,"100,00"
/maven-library/target,686,686,0,"100,00"
/maven-library/target/classes/dao,234,234,0,"100,00"
/maven-library/target/classes/daoconnect,16,16,0,"100,00"
/maven-library/target/classes/models,131,131,0,"100,00"
/maven-library/target/m2e-wtp/web-resources/META-INF,5,5,0,"100,00"
/maven-library/target/m2e-wtp/web-resources/META-INF/maven/fr.afpa/maven-library,33,33,0,"100,00"
/maven-library/target/maven-archiver,5,5,0,"100,00"
/maven-library/target/maven-library,5,5,0,"100,00"
/maven-library/target/maven-library/WEB-INF,7,7,0,"100,00"
/maven-library/target/maven-library/WEB-INF/lib,846,846,0,"100,00"
